"player","team","pos","min","obpm","dbpm","bpm","role"
"Mario Lemina","Wolverhampton Wanderers","MF",33,0.065,0.016,0.081,2
"Alexis Mac Allister","Liverpool","MF",28.9,0.011,0.069,0.08,2
"Danny Welbeck","Brighton & Hove Albion","FW,MF",18.8,0.1,-0.022,0.079,2.66666666666667
"Ross Barkley","Luton Town","MF",29.1,0.068,0.009,0.077,2
"Michael Olise","Crystal Palace","FW,MF",14.2,0.135,-0.059,0.076,2.66666666666667
"Oliver McBurnie","Sheffield United","FW",14.2,0.131,-0.055,0.076,3
"Pau Torres","Aston Villa","DF",27.4,-0.009,0.083,0.075,1
"Rasmus Højlund","Manchester United","FW",24,0.114,-0.039,0.075,3
"Marcos Senesi","Bournemouth","DF",24.9,-0.02,0.095,0.075,1
"Lyle Foster","Burnley","FW,MF",21.1,0.102,-0.027,0.075,2.66666666666667
"John McGinn","Aston Villa","MF,FW",33.3,0.052,0.021,0.073,2.33333333333333
"João Palhinha","Fulham","MF",30,0.041,0.032,0.073,2
"Teden Mengi","Luton Town","DF",27.4,-0.009,0.079,0.071,1
"Cameron Archer","Sheffield United","FW,MF",20.4,0.102,-0.031,0.071,2.66666666666667
"Diogo Dalot","Manchester United","DF",35.3,0.029,0.042,0.07,1
"Dean Henderson","Crystal Palace","GK",18,-0.091,0.159,0.067,0
"Wilson Odobert","Burnley","MF,FW",23.3,0.096,-0.029,0.067,2.33333333333333
